belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,acad_1,acad_2,acad_3,acad_4,acad_5,acad_6,stress_1,stress_2,stress_3,stress_4,stress_5,stress_6,disc_1,disc_2,disc_3,disc_4,disc_5,disc_6,div_1,div_2,div_3,div_4,div_5,div_6,div_7,gender,first_gen,transfer,ethnicity,mother_edu,major,year,status,financial_challenge,college_gpa,total_belonging,total_academic,total_stress,total_discrimination,total_diversity
1,5,1,3,2,1,3,2,3,4,2,4,5,5,3,4,3,5,2,5,5,2,2,4,3,2,1,1,5,5,1,Female,Yes,Yes,Other,College,Non-STEM,Junior,Domestic,To some extent,3.44,2.166666667,3,4.166666667,3.333333333,2.571428571
2,2,3,5,3,2,4,4,5,1,3,2,1,1,4,3,1,5,2,5,4,5,4,4,4,4,1,3,4,3,4,Male,No,No,Other,College,STEM,Sophomore,International,To some extent,3.14,2.833333333,3.166666667,2.5,4,3.285714286
1,2,1,3,4,1,3,5,3,4,5,3,5,3,1,3,1,4,2,3,5,4,3,5,3,1,1,2,2,5,2,Female,Yes,Yes,Other,College,STEM,Senior,Domestic,To a large extent,3.53,2,3.833333333,2.833333333,3.666666667,2.285714286
4,5,2,5,3,5,4,2,4,3,5,4,5,5,4,2,3,5,4,2,4,2,3,1,2,3,2,4,1,2,4,Female,Yes,Yes,Latino,Graduate,Non-STEM,Junior,International,To some extent,2.71,4,3.666666667,4,2.666666667,2.571428571
4,3,2,3,1,4,2,4,3,3,3,2,4,2,2,2,2,3,3,2,5,2,4,1,4,3,4,3,2,2,4,Male,Yes,No,Asian,Graduate,STEM,Junior,Domestic,To a large extent,2.79,2.833333333,2.833333333,2.5,2.833333333,3.142857143
4,5,4,1,1,2,4,3,2,5,1,1,4,2,3,2,4,3,2,5,1,1,3,5,5,4,3,4,4,1,2,Male,No,No,Asian,Less than College,Non-STEM,Senior,Domestic,To a small extent,3.63,2.833333333,2.666666667,3,2.833333333,3.285714286
5,1,4,2,4,5,3,2,4,1,5,4,3,4,2,3,5,3,2,3,1,1,4,3,2,3,2,5,3,4,4,Male,Yes,Yes,African American,College,Non-STEM,Junior,International,To a small extent,2.92,3.5,3.166666667,3.333333333,2.333333333,3.285714286
4,5,1,5,5,1,2,4,5,4,1,5,4,5,5,3,5,4,3,5,3,1,3,2,4,1,3,4,2,4,2,Male,No,No,Asian,College,Non-STEM,Freshman,Domestic,To a small extent,3.07,3.5,3.5,4.333333333,2.833333333,2.857142857
2,3,2,1,5,5,1,4,1,1,2,4,4,5,2,3,3,2,1,5,5,1,3,1,3,3,5,1,2,4,2,Female,No,No,Other,Graduate,STEM,Freshman,Domestic,To some extent,3.29,3,2.166666667,3.166666667,2.666666667,2.857142857
2,2,5,3,2,2,4,5,5,2,3,2,5,3,5,1,1,1,4,2,1,5,3,3,5,4,4,5,3,3,3,Male,No,No,Latino,College,STEM,Junior,International,To some extent,3.6,2.666666667,3.5,2.666666667,3,3.857142857
1,2,2,4,1,5,2,1,3,4,5,4,5,1,2,4,3,2,4,2,2,4,5,1,2,1,4,2,3,5,1,Male,No,No,Other,College,Non-STEM,Junior,International,To a large extent,3.37,2.5,3.166666667,2.833333333,3,2.571428571
4,2,3,1,1,4,4,4,5,5,4,2,3,5,1,5,1,5,4,1,4,4,5,2,2,1,5,1,1,5,1,Female,No,No,African American,Graduate,Non-STEM,Sophomore,International,To some extent,3.54,2.5,4,3.333333333,3.333333333,2.285714286
4,1,1,5,5,5,1,4,3,3,4,4,1,4,1,2,5,4,4,5,1,2,2,1,5,1,5,2,4,1,2,Male,No,Yes,Latino,Less than College,Non-STEM,Freshman,Domestic,To some extent,3.22,3.5,3.166666667,2.833333333,2.5,2.857142857
4,1,4,2,3,4,1,3,2,3,3,5,1,1,1,5,5,5,3,5,3,4,4,4,4,3,4,1,3,3,2,Male,Yes,Yes,Other,College,Non-STEM,Freshman,International,To a large extent,3.11,3,2.833333333,3,3.833333333,2.857142857
2,4,2,2,4,5,1,3,2,3,1,1,2,2,2,4,2,3,4,2,5,2,1,2,5,2,3,5,5,5,3,Male,No,No,Latino,Graduate,STEM,Freshman,International,To a large extent,3.8,3.166666667,1.833333333,2.5,2.666666667,4
2,4,3,5,5,2,5,2,5,4,1,1,1,4,2,2,3,3,5,4,2,5,5,4,4,1,3,1,4,2,3,Female,No,No,Asian,Less than College,STEM,Junior,International,To some extent,2.8,3.5,3,2.5,4.166666667,2.571428571
4,5,2,4,5,2,4,1,4,5,5,2,3,3,5,2,5,1,2,4,2,1,3,3,3,1,4,2,4,1,4,Female,No,Yes,White,Less than College,STEM,Sophomore,Domestic,To a large extent,2.88,3.666666667,3.5,3.166666667,2.5,2.714285714
1,2,4,4,5,3,1,2,3,1,5,5,1,2,5,4,1,1,4,1,1,5,3,4,2,2,2,2,5,2,4,Female,No,No,African American,Less than College,STEM,Freshman,Domestic,To a large extent,3.65,3.166666667,2.833333333,2.333333333,3,2.714285714
1,5,5,4,4,3,5,2,2,3,5,4,1,2,4,5,2,4,3,5,3,3,5,2,3,2,4,5,1,2,3,Male,Yes,Yes,Latino,College,STEM,Freshman,International,To some extent,3.24,3.666666667,3.5,3,3.5,2.857142857
2,2,5,3,1,4,2,1,5,5,2,1,3,2,5,1,5,3,3,4,3,3,1,1,3,2,3,2,1,4,2,Female,Yes,Yes,Other,Less than College,Non-STEM,Freshman,International,To a large extent,2.9,2.833333333,2.666666667,3.166666667,2.5,2.428571429
5,2,2,5,3,4,4,1,2,3,5,1,4,3,1,3,3,3,4,3,5,3,3,3,1,4,1,5,1,5,1,Male,No,Yes,Other,College,STEM,Senior,International,To a large extent,2.48,3.5,2.666666667,2.833333333,3.5,2.571428571
4,2,3,2,5,4,1,4,5,1,2,4,4,2,1,1,2,5,2,2,3,4,1,1,4,1,4,2,1,1,4,Female,Yes,No,Asian,Graduate,Non-STEM,Sophomore,Domestic,To a small extent,3.7,3.333333333,2.833333333,2.5,2.166666667,2.428571429
2,3,2,4,1,5,5,4,1,3,3,5,5,5,5,1,4,1,2,5,4,4,4,1,4,4,1,2,3,2,3,Male,No,Yes,Latino,College,Non-STEM,Junior,Domestic,To some extent,3.94,2.833333333,3.5,3.5,3.333333333,2.714285714
4,1,4,4,3,3,1,5,3,1,5,4,4,4,2,1,3,1,2,4,4,4,5,4,3,5,3,5,4,2,3,Female,No,Yes,White,Less than College,STEM,Junior,Domestic,To a small extent,3.15,3.166666667,3.166666667,2.5,3.833333333,3.571428571
2,1,4,4,3,1,2,3,5,5,2,5,5,1,4,1,3,4,3,4,4,2,4,3,2,3,5,1,4,4,4,Male,No,Yes,White,Graduate,STEM,Freshman,International,To a large extent,3.36,2.5,3.666666667,3,3.333333333,3.285714286
2,4,4,2,3,4,1,5,3,5,5,3,4,4,4,5,3,3,3,3,5,3,1,3,3,3,3,1,1,5,2,Female,Yes,Yes,White,Graduate,STEM,Junior,Domestic,To some extent,3.42,3.166666667,3.666666667,3.833333333,3,2.571428571
3,3,5,2,5,5,5,5,4,2,5,3,1,3,4,2,1,4,5,3,5,4,3,2,5,5,5,2,1,2,1,Female,No,Yes,Latino,College,STEM,Freshman,Domestic,To some extent,3.69,3.833333333,4,2.5,3.666666667,3
5,5,1,5,5,5,4,2,3,4,2,5,1,1,4,2,2,4,1,5,4,1,5,4,3,4,4,1,2,2,1,Male,No,Yes,Latino,Graduate,Non-STEM,Senior,International,To a large extent,2.97,4.333333333,3.333333333,2.333333333,3.333333333,2.428571429
2,3,5,5,4,2,1,5,1,4,2,5,2,2,1,5,1,2,5,1,1,1,2,2,2,1,2,4,2,1,5,Male,Yes,No,African American,Less than College,STEM,Freshman,Domestic,To some extent,2.78,3.5,3,2.166666667,2,2.428571429
3,5,5,2,1,3,2,4,4,2,4,5,5,2,3,4,4,4,1,5,4,3,4,3,3,4,5,5,5,2,1,Male,No,Yes,White,College,STEM,Senior,International,To a large extent,3.46,3.166666667,3.5,3.666666667,3.333333333,3.571428571
2,3,2,5,4,3,2,4,2,2,5,4,3,1,4,2,3,1,2,2,3,1,2,1,1,3,2,4,2,4,2,Male,Yes,No,Asian,Graduate,STEM,Senior,International,To some extent,3.19,3.166666667,3.166666667,2.333333333,1.833333333,2.571428571
3,5,5,1,5,5,4,5,3,1,2,2,5,4,2,2,3,4,1,1,5,5,5,5,5,3,3,3,5,5,3,Male,Yes,Yes,African American,College,Non-STEM,Freshman,International,To a large extent,3.1,4,2.833333333,3.333333333,3.666666667,3.857142857
3,2,5,3,4,4,2,1,3,5,2,1,4,4,4,4,4,4,5,1,1,4,5,3,4,4,2,5,4,5,5,Female,No,No,Other,Graduate,STEM,Freshman,Domestic,To a small extent,3.44,3.5,2.333333333,4,3.166666667,4.142857143
5,3,3,1,5,3,1,2,4,4,4,4,2,5,2,4,4,2,3,2,5,4,3,2,1,1,2,3,2,5,2,Male,Yes,No,Latino,Less than College,STEM,Senior,International,To a small extent,3.56,3.333333333,3.166666667,3.166666667,3.166666667,2.285714286
4,2,5,2,4,2,1,5,2,2,5,2,2,2,4,4,2,1,4,4,5,1,1,2,2,4,1,1,2,3,2,Female,Yes,No,Other,Less than College,Non-STEM,Sophomore,International,To some extent,2.77,3.166666667,2.833333333,2.5,2.833333333,2.142857143
4,2,5,1,3,2,5,1,3,3,4,5,1,3,1,5,4,3,5,2,4,2,5,3,2,1,2,2,5,2,5,Female,No,No,Other,Graduate,STEM,Sophomore,International,To a large extent,2.22,2.833333333,3.5,2.833333333,3.5,2.714285714
3,2,5,3,5,4,1,4,1,4,5,2,3,5,5,3,1,4,5,5,2,5,4,2,3,2,3,1,4,1,4,Male,No,Yes,African American,Graduate,Non-STEM,Senior,International,To a large extent,2.64,3.666666667,2.833333333,3.5,3.833333333,2.571428571
2,1,1,2,1,4,2,2,4,4,5,4,2,4,2,5,5,2,1,5,3,2,5,3,1,1,4,2,2,3,4,Female,No,No,Other,College,STEM,Senior,Domestic,To a large extent,2.96,1.833333333,3.5,3.333333333,3.166666667,2.428571429
5,2,1,1,2,3,2,5,1,1,2,3,2,4,3,1,2,1,5,4,5,5,1,1,5,4,5,4,2,2,4,Male,No,Yes,Latino,College,Non-STEM,Sophomore,Domestic,To a small extent,3.23,2.333333333,2.333333333,2.166666667,3.5,3.714285714
5,4,3,4,4,1,2,5,3,3,4,4,5,1,1,5,4,4,2,4,4,2,2,1,2,1,3,2,5,5,4,Female,No,Yes,Asian,Less than College,Non-STEM,Freshman,International,To some extent,2.69,3.5,3.5,3.333333333,2.5,3.142857143
5,4,1,2,1,5,5,5,3,5,3,2,5,1,1,1,5,5,5,2,4,2,4,2,4,2,2,1,2,3,2,Male,No,Yes,African American,Graduate,STEM,Sophomore,International,To a large extent,2.94,3,3.833333333,3,3.166666667,2.285714286
2,1,5,4,2,2,3,4,1,4,3,3,2,3,3,2,5,3,4,3,1,1,2,1,3,1,2,2,4,1,3,Male,No,Yes,White,Less than College,STEM,Junior,International,To a large extent,3.21,2.666666667,3,3,2,2.285714286
4,3,1,5,4,3,1,1,3,1,5,2,3,5,4,1,2,3,1,4,3,1,4,4,1,3,3,5,5,5,3,Male,Yes,Yes,White,Graduate,STEM,Junior,Domestic,To a small extent,3.34,3.333333333,2.166666667,3,2.833333333,3.571428571
5,4,4,4,4,5,4,4,5,3,5,4,3,4,5,5,1,1,1,5,3,4,1,3,2,4,2,5,5,1,4,Male,No,Yes,Other,College,STEM,Junior,International,To some extent,2.95,4.333333333,4.166666667,3.166666667,2.833333333,3.285714286
4,1,1,5,5,4,1,3,4,4,2,5,4,2,3,4,3,5,1,5,4,1,4,1,1,3,3,1,1,2,3,Female,Yes,Yes,Asian,College,STEM,Freshman,Domestic,To a large extent,3.2,3.333333333,3.166666667,3.5,2.666666667,2
4,4,4,4,2,4,2,5,4,3,5,5,2,3,2,4,1,3,1,3,1,1,1,5,2,2,5,5,4,4,3,Female,Yes,Yes,Latino,Less than College,Non-STEM,Junior,International,To some extent,3.22,3.666666667,4,2.5,2,3.571428571
2,2,4,3,4,5,4,2,5,2,4,5,3,2,2,4,2,3,2,2,1,1,3,5,1,1,1,1,3,4,4,Female,Yes,No,Other,Graduate,Non-STEM,Freshman,International,To a large extent,3.61,3.333333333,3.666666667,2.666666667,2.333333333,2.142857143
1,1,3,1,4,2,2,4,1,1,3,3,3,3,2,4,2,2,4,1,5,2,4,5,3,5,5,5,4,5,5,Female,Yes,Yes,White,College,STEM,Freshman,Domestic,To a large extent,3.15,2,2.333333333,2.666666667,3.5,4.571428571
4,3,2,3,4,3,2,4,4,1,4,2,1,3,3,1,4,1,5,5,3,2,1,2,2,3,4,3,4,1,1,Male,Yes,Yes,Latino,Less than College,STEM,Freshman,International,To a small extent,2.06,3.166666667,2.833333333,2.166666667,3,2.571428571
5,1,4,3,5,2,3,2,1,3,5,2,5,4,2,5,3,3,4,2,1,1,3,2,4,3,5,5,1,4,4,Male,Yes,Yes,Other,Graduate,Non-STEM,Senior,International,To a small extent,2.37,3.333333333,2.666666667,3.666666667,2.166666667,3.714285714
2,1,4,1,5,4,3,2,1,2,3,3,1,3,4,3,5,2,1,2,1,3,1,5,5,4,4,1,1,5,5,Male,Yes,No,Latino,Graduate,Non-STEM,Junior,Domestic,To a small extent,2.65,2.833333333,2.333333333,3,2.166666667,3.571428571
2,4,2,3,1,4,4,1,4,3,3,5,5,1,3,5,3,2,5,4,3,1,3,1,5,2,5,2,4,3,5,Male,No,No,Latino,Less than College,STEM,Senior,Domestic,To a large extent,2.69,2.666666667,3.333333333,3.166666667,2.833333333,3.714285714
2,4,1,5,4,5,5,3,4,4,2,5,3,1,2,2,1,5,4,5,2,3,2,1,5,3,1,1,1,5,1,Male,Yes,Yes,Asian,Graduate,STEM,Senior,International,To a large extent,3.52,3.5,3.833333333,2.333333333,2.833333333,2.428571429
5,2,4,3,1,1,4,2,3,4,1,2,2,4,4,1,5,4,3,5,3,2,1,4,3,4,3,5,5,5,2,Male,No,No,African American,College,Non-STEM,Freshman,Domestic,To some extent,3.47,2.666666667,2.666666667,3.333333333,3,3.857142857
3,2,3,2,1,2,1,1,1,1,1,3,4,3,5,5,2,5,4,3,2,2,5,1,5,5,2,3,1,3,3,Male,No,No,African American,Less than College,Non-STEM,Junior,Domestic,To some extent,3.37,2.166666667,1.333333333,4,2.833333333,3.142857143
2,5,4,4,1,1,5,3,4,3,5,5,2,5,5,3,5,2,2,1,2,4,5,3,3,5,3,5,3,5,3,Female,Yes,Yes,Latino,College,Non-STEM,Junior,Domestic,To a large extent,2.86,2.833333333,4.166666667,3.666666667,2.833333333,3.857142857
4,5,3,5,5,4,1,3,5,2,3,2,2,3,5,5,5,2,1,4,3,2,1,5,5,1,2,4,4,4,5,Male,Yes,No,Latino,Graduate,Non-STEM,Freshman,Domestic,To a large extent,3.72,4.333333333,2.666666667,3.666666667,2.666666667,3.571428571
2,5,5,5,3,4,4,1,1,3,1,3,1,5,2,4,5,4,3,5,3,4,1,3,3,5,2,4,5,1,5,Male,Yes,No,Latino,Less than College,Non-STEM,Freshman,International,To a small extent,3.43,4,2.166666667,3.5,3.166666667,3.571428571
3,2,3,5,2,3,4,5,3,2,1,3,4,5,4,1,2,2,4,3,4,4,2,5,1,3,4,4,2,1,4,Male,No,No,Asian,Less than College,Non-STEM,Sophomore,Domestic,To some extent,2.75,3,3,3,3.666666667,2.714285714
4,2,4,1,1,5,4,1,3,3,2,2,3,2,1,2,5,1,4,4,5,5,2,4,4,3,4,2,5,3,3,Male,No,Yes,Other,Graduate,STEM,Sophomore,International,To a small extent,3.59,2.833333333,2.5,2.333333333,4,3.428571429
4,2,2,3,1,1,1,5,2,5,4,3,3,2,5,4,2,4,5,3,4,5,3,2,4,2,5,1,4,5,3,Female,No,No,Asian,Less than College,Non-STEM,Freshman,Domestic,To a small extent,2.95,2.166666667,3.333333333,3.333333333,3.666666667,3.428571429
4,5,3,1,5,4,5,4,2,1,1,1,2,1,5,5,5,3,3,2,2,3,5,4,4,2,5,1,4,1,2,Female,No,No,White,Less than College,STEM,Senior,Domestic,To a small extent,3.19,3.666666667,2.333333333,3.5,3.166666667,2.714285714
2,2,3,5,2,2,2,1,4,2,4,3,3,1,5,5,5,1,1,2,1,2,3,3,3,4,4,3,2,4,5,Male,Yes,Yes,White,Less than College,STEM,Freshman,International,To a small extent,2.55,2.666666667,2.666666667,3.333333333,2,3.571428571
2,2,1,1,1,4,2,1,4,4,1,5,2,1,4,4,2,3,4,2,5,1,2,1,3,4,3,3,4,5,2,Female,Yes,Yes,White,Graduate,Non-STEM,Senior,International,To a large extent,3.28,1.833333333,2.833333333,2.666666667,2.5,3.428571429
4,3,1,1,2,5,4,3,4,1,3,4,4,1,2,1,2,2,1,2,5,4,4,4,4,2,5,3,2,4,1,Female,Yes,No,Other,Less than College,STEM,Senior,International,To a large extent,2.65,2.666666667,3.166666667,2,3.333333333,3
3,1,5,2,4,2,4,5,2,4,3,1,5,3,2,1,5,5,5,1,4,1,4,4,5,3,2,3,5,3,3,Male,No,No,African American,Graduate,STEM,Sophomore,Domestic,To a small extent,3.72,2.833333333,3.166666667,3.5,3.166666667,3.428571429
1,5,3,1,4,2,4,2,3,2,3,3,2,5,3,5,1,4,4,4,3,2,3,5,4,5,5,5,5,5,4,Female,No,No,Other,College,STEM,Sophomore,International,To a small extent,2.63,2.666666667,2.833333333,3.333333333,3.5,4.714285714
4,5,2,4,5,2,4,1,1,3,4,5,1,5,3,3,1,4,5,4,3,5,4,2,4,1,1,1,1,5,4,Female,No,No,Asian,College,STEM,Sophomore,International,To a small extent,3.21,3.666666667,3,2.833333333,3.833333333,2.428571429
3,2,1,4,3,1,4,3,2,3,3,4,1,1,1,1,3,2,5,1,5,3,5,4,5,2,1,1,5,3,2,Female,No,Yes,Other,Graduate,Non-STEM,Junior,Domestic,To some extent,3.53,2.333333333,3.166666667,1.5,3.833333333,2.714285714
3,4,3,2,5,3,1,5,1,5,3,3,4,3,5,5,1,3,5,3,1,4,1,1,5,3,5,1,1,5,2,Female,No,Yes,Latino,College,STEM,Sophomore,Domestic,To a large extent,3.08,3.333333333,3,3.5,2.5,3.142857143
3,4,3,2,5,3,1,3,5,4,5,5,2,2,1,2,3,5,3,5,4,1,5,3,2,3,2,4,1,4,3,Male,No,Yes,White,College,STEM,Senior,Domestic,To a large extent,2.96,3.333333333,3.833333333,2.5,3.5,2.714285714
4,4,3,5,5,3,2,1,2,4,5,4,5,5,2,1,3,1,1,5,5,4,3,1,1,4,5,4,5,4,4,Male,Yes,No,Latino,Less than College,Non-STEM,Freshman,International,To some extent,3.4,4,3,2.833333333,3.166666667,3.857142857
4,1,2,5,1,3,4,4,2,2,1,4,1,5,5,1,5,5,5,3,5,5,3,1,1,2,3,1,4,3,5,Male,No,Yes,Asian,College,STEM,Freshman,International,To a large extent,3.14,2.666666667,2.833333333,3.666666667,3.666666667,2.714285714
1,3,3,5,2,4,5,5,2,1,3,5,4,2,1,3,1,1,2,4,4,5,1,4,3,3,2,3,2,1,4,Female,No,No,Other,Less than College,Non-STEM,Sophomore,International,To a small extent,3.4,3,3.5,2,3.333333333,2.571428571
3,5,3,3,3,4,1,1,3,5,3,1,4,5,3,4,3,1,4,2,4,3,2,3,1,1,1,3,3,1,5,Female,No,No,African American,College,Non-STEM,Freshman,Domestic,To a large extent,2.95,3.5,2.333333333,3.333333333,3,2.142857143
2,2,5,2,4,3,1,3,3,1,4,2,1,4,5,4,1,5,5,4,2,2,1,3,1,4,1,5,4,3,2,Female,Yes,No,African American,Less than College,Non-STEM,Sophomore,Domestic,To a small extent,3.51,3,2.333333333,3.333333333,2.833333333,2.857142857
5,4,5,2,1,3,5,2,2,4,5,3,4,3,3,4,1,1,4,5,2,5,2,4,5,5,1,1,5,3,3,Male,No,Yes,Asian,Less than College,STEM,Freshman,International,To a small extent,3.17,3.333333333,3.5,2.666666667,3.666666667,3.285714286
5,4,1,2,5,4,2,1,4,1,5,3,5,5,3,1,3,4,3,2,5,5,5,4,2,2,5,2,3,3,1,Female,No,No,Other,College,STEM,Senior,International,To a small extent,3.41,3.5,2.666666667,3.5,4,2.571428571
3,5,5,3,1,4,3,4,5,2,5,1,1,1,5,5,4,3,1,1,4,1,5,1,1,3,3,1,1,2,3,Female,No,Yes,Latino,Graduate,STEM,Junior,International,To a large extent,3.13,3.5,3.333333333,3.166666667,2.166666667,2
5,2,4,3,4,2,1,4,3,5,2,5,1,2,2,5,4,3,2,1,2,3,5,2,3,4,1,1,4,1,2,Male,No,Yes,Asian,Graduate,STEM,Sophomore,International,To a large extent,3.06,3.333333333,3.333333333,2.833333333,2.5,2.285714286
5,4,5,1,3,5,4,4,2,5,2,4,5,5,5,2,3,1,3,3,4,3,2,2,4,2,1,5,3,5,4,Female,Yes,No,Latino,Graduate,Non-STEM,Senior,Domestic,To a large extent,3.66,3.833333333,3.5,3.5,2.833333333,3.428571429
4,5,3,5,3,4,2,5,5,2,2,3,2,2,4,1,4,3,2,4,5,3,2,5,2,3,4,3,4,1,3,Female,No,Yes,Asian,College,STEM,Senior,Domestic,To a large extent,2.75,4,3.166666667,2.666666667,3.5,2.857142857
4,2,4,3,1,4,1,1,3,5,5,2,2,2,2,3,2,1,3,3,4,3,4,2,2,1,5,1,5,1,3,Male,Yes,No,Asian,Graduate,Non-STEM,Senior,Domestic,To some extent,3.74,3,2.833333333,2,3.166666667,2.571428571
1,1,3,2,2,1,4,5,4,1,4,2,5,5,4,4,1,2,5,2,3,2,3,1,1,2,2,5,2,3,2,Female,No,No,Latino,College,STEM,Senior,Domestic,To a large extent,3.19,1.666666667,3.333333333,3.5,2.666666667,2.428571429
3,4,2,2,3,1,2,4,1,3,1,1,5,5,2,5,4,4,2,1,3,1,1,1,3,3,3,5,5,3,4,Male,No,Yes,Asian,Less than College,STEM,Senior,Domestic,To a small extent,3.01,2.5,2,4.166666667,1.5,3.714285714
5,2,5,5,3,1,1,3,5,2,3,3,4,4,2,3,1,1,4,3,4,1,3,3,1,3,3,4,5,3,4,Female,No,Yes,Asian,Less than College,Non-STEM,Senior,International,To some extent,3.4,3.5,2.833333333,2.5,3,3.285714286
4,5,5,4,2,5,1,3,2,3,3,4,5,4,2,1,4,5,4,2,1,2,2,1,3,5,3,3,3,5,5,Male,No,Yes,African American,Graduate,Non-STEM,Junior,International,To some extent,2.81,4.166666667,2.666666667,3.5,2,3.857142857
5,4,3,5,1,5,4,2,4,3,4,3,4,5,5,3,5,1,2,2,1,5,1,1,4,3,2,3,3,1,4,Male,No,Yes,Latino,Less than College,Non-STEM,Freshman,Domestic,To a large extent,2.79,3.833333333,3.333333333,3.833333333,2,2.857142857
5,5,3,3,2,4,2,3,1,5,4,4,5,4,4,4,4,1,4,2,4,3,5,1,5,1,3,5,1,2,3,Male,Yes,No,Latino,Graduate,STEM,Freshman,Domestic,To a small extent,3.52,3.666666667,3.166666667,3.666666667,3.166666667,2.857142857
2,5,4,5,3,3,1,4,4,2,2,1,4,5,3,3,4,4,5,1,1,1,1,1,1,3,5,5,3,2,1,Male,No,No,African American,Graduate,STEM,Junior,International,To a small extent,3.08,3.666666667,2.333333333,3.833333333,1.666666667,2.857142857
3,4,5,3,3,2,5,1,2,2,5,3,5,5,2,3,2,2,1,4,1,1,5,5,3,4,4,1,1,1,4,Male,Yes,Yes,White,College,STEM,Senior,International,To some extent,3.52,3.333333333,3,3.166666667,2.833333333,2.571428571
4,3,4,1,2,5,4,1,5,2,2,4,5,2,3,4,5,5,1,3,4,5,3,4,1,2,2,2,1,1,5,Female,Yes,Yes,Latino,College,Non-STEM,Junior,International,To a large extent,2.93,3.166666667,3,4,3.333333333,2
4,4,3,3,3,2,1,1,1,1,3,3,5,1,1,1,2,4,4,2,4,4,4,1,2,4,4,1,1,3,4,Female,Yes,Yes,African American,College,Non-STEM,Junior,International,To a small extent,3.17,3.166666667,1.666666667,2.333333333,3.166666667,2.714285714
2,1,5,1,4,1,2,5,4,5,4,3,1,3,4,1,4,4,3,1,4,5,2,1,1,3,3,5,5,4,4,Female,Yes,No,African American,Less than College,Non-STEM,Freshman,International,To a small extent,4,2.333333333,3.833333333,2.833333333,2.666666667,3.571428571
4,3,4,5,1,2,2,3,2,3,4,4,4,1,4,5,4,4,2,4,4,4,2,2,1,3,1,4,2,5,5,Male,No,Yes,Asian,College,Non-STEM,Freshman,International,To a large extent,2.96,3.166666667,3,3.666666667,3,3
2,4,1,2,2,5,4,4,4,1,4,4,1,1,1,3,1,1,3,1,1,5,3,4,4,3,4,2,2,3,2,Female,Yes,Yes,Asian,Graduate,STEM,Senior,International,To some extent,3.19,2.666666667,3.5,1.333333333,2.833333333,2.857142857
3,4,3,4,3,1,1,3,2,5,3,3,5,5,4,4,2,1,3,5,1,2,1,4,3,1,3,3,2,5,2,Female,No,No,Asian,Graduate,STEM,Senior,Domestic,To some extent,3.28,3,2.833333333,3.5,2.666666667,2.714285714
1,3,5,5,3,1,3,3,1,5,4,4,2,5,3,2,4,5,2,5,1,4,3,4,4,3,4,3,2,5,1,Female,Yes,Yes,Asian,Less than College,Non-STEM,Sophomore,International,To some extent,3.57,3,3.333333333,3.5,3.166666667,3.142857143
5,4,3,5,4,1,4,5,4,1,5,4,5,4,1,2,3,4,4,5,1,2,2,1,3,5,4,4,2,5,2,Female,No,No,Latino,Graduate,STEM,Senior,International,To a large extent,3.57,3.666666667,3.833333333,3.166666667,2.5,3.571428571
1,1,4,1,1,4,2,4,1,2,4,2,5,3,3,3,1,5,3,1,4,5,4,5,3,4,3,3,4,4,2,Male,Yes,No,Other,College,STEM,Senior,Domestic,To a small extent,2.95,2,2.5,3.333333333,3.666666667,3.285714286
2,2,2,4,2,3,3,3,1,1,3,5,2,2,4,4,1,4,2,4,4,3,5,4,5,2,2,1,1,1,3,Female,Yes,Yes,Latino,Less than College,Non-STEM,Senior,International,To a large extent,3.75,2.5,2.666666667,2.833333333,3.666666667,2.142857143
5,1,3,4,4,4,3,3,1,4,1,2,3,2,3,1,4,3,4,4,1,1,4,4,4,5,3,4,4,4,4,Female,Yes,Yes,Other,Graduate,STEM,Sophomore,Domestic,To a small extent,3.2,3.5,2.333333333,2.666666667,3,4
5,3,3,3,5,2,1,2,2,5,5,3,1,1,1,3,2,5,4,4,4,4,1,1,3,5,2,4,3,1,3,Female,No,No,White,Graduate,STEM,Junior,International,To some extent,3.49,3.5,3,2.166666667,3,3
3,2,3,3,3,5,1,5,4,1,3,3,3,4,2,3,5,3,5,1,1,2,3,1,5,1,2,1,4,1,5,Female,No,No,Asian,Graduate,STEM,Senior,International,To a large extent,2.89,3.166666667,2.833333333,3.333333333,2.166666667,2.714285714
5,4,1,5,1,4,2,3,2,5,2,1,2,4,4,3,5,4,4,4,4,4,3,3,3,4,2,3,2,4,3,Male,No,No,Asian,College,Non-STEM,Freshman,International,To some extent,3,3.333333333,2.5,3.666666667,3.666666667,3
5,4,5,2,5,4,3,1,1,4,5,3,1,3,1,2,1,1,3,3,4,4,5,1,4,4,1,2,2,4,2,Female,No,No,African American,Graduate,STEM,Freshman,International,To a large extent,2.98,4.166666667,2.833333333,1.5,3.333333333,2.714285714
2,2,5,4,5,4,5,4,3,2,3,2,4,4,3,3,2,4,1,3,5,4,1,4,5,4,4,1,2,1,2,Male,No,Yes,Other,College,Non-STEM,Senior,International,To some extent,3.81,3.666666667,3.166666667,3.333333333,3,2.714285714
2,4,2,3,1,5,4,1,3,5,3,5,2,3,4,1,1,5,4,5,3,2,3,3,2,4,4,2,5,3,5,Male,No,Yes,African American,College,Non-STEM,Junior,International,To some extent,3.65,2.833333333,3.5,2.666666667,3.333333333,3.571428571
